1. 央视,#genre#
青海卫视,rtsp://119.180.21.22:1554/iptv/import/Tvod/iptv/001/001/ch10120118273518671654.rsc/72351_Uni.sdp
西藏卫视,rtsp://119.180.21.9:1554/iptv/import/Tvod/iptv/001/001/ch10120116213780720306.rsc/72332_Uni.sdp
宁夏卫视,rtsp://119.180.21.12:1554/iptv/import/Tvod/iptv/001/001/ch25072809435815201156.rsc/103098_Uni.sdp
山西卫视,rtsp://119.180.21.19:1554/iptv/import/Tvod/iptv/001/001/ch10120118303484157828.rsc/72333_Uni.sdp
陕西卫视,rtsp://119.180.21.22:1554/iptv/import/Tvod/iptv/001/001/ch10120118332130518297.rsc/72321_Uni.sdp
内蒙古卫视,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch10120118290217488762.rsc/72367_Uni.sdp
兵团卫视,rtsp://119.180.21.22:1554/iptv/import/Tvod/iptv/001/001/ch10120116250568011708.rsc/72338_Uni.sdp
农林卫视,rtsp://119.180.21.21:1554/iptv/import/Tvod/iptv/001/001/ch10120118335748437793.rsc/72329_Uni.sdp
厦门卫视,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch17120418140581348001.rsc/74117_Uni.sdp
延边卫视,rtsp://119.180.21.15:1554/iptv/import/Tvod/iptv/001/001/ch23072116063432685915.rsc/98597_Uni.sdp
三沙卫视,rtsp://119.180.21.19:1554/iptv/import/Tvod/iptv/001/001/ch19120615372589393337.rsc/89760_Uni.sdp

北京卫视,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch12051116365437815794.rsc/69968_Uni.sdp
东方卫视,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch15050917541568689826.rsc/69963_Uni.sdp
江苏卫视,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch12051116384379542816.rsc/69997_Uni.sdp
浙江卫视,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch15050917541521964962.rsc/69949_Uni.sdp
湖南卫视,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch12051116352384581471.rsc/70069_Uni.sdp
河南卫视,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch10120118312827983078.rsc/69930_Uni.sdp
安徽卫视,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch15050917541532308683.rsc/70014_Uni.sdp
天津卫视,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch15050917541659846769.rsc/69974_Uni.sdp
辽宁卫视,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch15050917541756096231.rsc/69996_Uni.sdp
深圳卫视,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch12051116392957055081.rsc/70071_Uni.sdp
东南卫视,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch17082318094203998689.rsc/71682_Uni.sdp
湖北卫视,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch15050917541519800547.rsc/69933_Uni.sdp
广东卫视,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch15050917541650823873.rsc/69978_Uni.sdp
黑龙江卫视,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch12051116400952898093.rsc/70052_Uni.sdp
贵州卫视,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch17121814402415050847.rsc/75837_Uni.sdp
