1. 央视,#genre#
魅力足球,http://150.138.8.143/00/SNM/CHANNEL00002021/index.m3u8
游戏风云,http://150.138.8.143/00/SNM/CHANNEL00002024/index.m3u8
快乐垂钓,http://150.138.8.143/00/SNM/CHANNEL00000648/index.m3u8
中国交通,http://150.138.8.143/00/SNM/CHANNEL00000073/index.m3u8
生态环境,http://150.138.8.143/00/SNM/CHANNEL00000671/index.m3u8
重温经典影视,http://150.138.8.143/00/SNM/CHANNEL00000364/index.m3u8
中央新影中学生,http://150.138.8.143/00/SNM/CHANNEL00000673/index.m3u8


精彩影视,http://122.4.104.5/00/SNM/CHANNEL00002012/index.m3u8
中国交通,http://122.4.104.5/00/SNM/CHANNEL00000073/index.m3u8
金鹰纪实,http://122.4.104.5/00/SNM/CHANNEL00000334/index.m3u8
快乐垂钓,http://122.4.104.5/00/SNM/CHANNEL00000648/index.m3u8
梨园频道,http://122.4.104.5/00/SNM/CHANNEL00000656/index.m3u8
武术世界,http://122.4.104.5/00/SNM/CHANNEL00000657/index.m3u8
文物宝库,http://122.4.104.5/00/SNM/CHANNEL00000658/index.m3u8
重庆汽摩,http://122.4.104.5/00/SNM/CHANNEL00000711/index.m3u8
都市剧场,http://122.4.104.5/00/SNM/CHANNEL00002022/index.m3u8 
动漫秀场,http://122.4.104.5/00/SNM/CHANNEL00002000/index.m3u8
法治天地,http://122.4.104.5/00/SNM/CHANNEL00002010/index.m3u8
乐游频道,http://122.4.104.5/00/SNM/CHANNEL00002016/index.m3u8
金色学堂,http://122.4.104.5/00/SNM/CHANNEL00002018/index.m3u8
生活时尚,http://122.4.104.5/00/SNM/CHANNEL00002019/index.m3u8
魅力足球,http://122.4.104.5/00/SNM/CHANNEL00002021/index.m3u8

5. 地方,#genre#
济南新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
济南教育,http://150.138.8.143/00/SNM/CHANNEL00000069/index.m3u8
济南都市,http://150.138.8.143/00/SNM/CHANNEL00000062/index.m3u8
济南生活,http://150.138.8.143/00/SNM/CHANNEL00000063/index.m3u8
济南文旅体育,http://150.138.8.143/00/SNM/CHANNEL00000064/index.m3u8
济南少儿,http://150.138.8.143/00/SNM/CHANNEL00000067/index.m3u8
济南鲁中,http://150.138.8.143/00/SNM/CHANNEL00000244/index.m3u8
青岛-1,http://150.138.8.143/00/SNM/CHANNEL00000500/index.m3u8
青岛-2,http://150.138.8.143/00/SNM/CHANNEL00000501/index.m3u8
青岛-3,http://150.138.8.143/00/SNM/CHANNEL00000502/index.m3u8
青岛-4,http://150.138.8.143/00/SNM/CHANNEL00000503/index.m3u8
青岛-5,http://150.138.8.143/00/SNM/CHANNEL00000505/index.m3u8
崂山,http://150.138.8.143/00/SNM/CHANNEL00001022/index.m3u8
黄岛综合,http://150.138.8.143/00/SNM/CHANNEL00001086/index.m3u8
黄岛生活,http://150.138.8.143/00/SNM/CHANNEL00001087/index.m3u8
莱西综合,http://150.138.8.143/00/SNM/CHANNEL00001067/index.m3u8
胶州综合,http://150.138.8.143/00/SNM/CHANNEL00001074/index.m3u8
平度综合,http://150.138.8.143/00/SNM/CHANNEL00001054/index.m3u8
烟台新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000280/index.m3u8
烟台公共,http://150.138.8.143/00/SNM/CHANNEL00000281/index.m3u8
烟台经济科技,http://150.138.8.143/00/SNM/CHANNEL00000282/index.m3u8
烟台影视,http://150.138.8.143/00/SNM/CHANNEL00000283/index.m3u8
蓬莱综合,http://150.138.8.143/00/SNM/CHANNEL00001088/index.m3u8
长岛,http://150.138.8.143/00/SNM/CHANNEL00001090/index.m3u8
牟平综合,http://150.138.8.143/00/SNM/CHANNEL00001076/index.m3u8
牟平生活,http://150.138.8.143/00/SNM/CHANNEL00001077/index.m3u8
栖霞综合,http://150.138.8.143/00/SNM/CHANNEL00001055/index.m3u8
淄博新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000292/index.m3u8
淄博影视,http://150.138.8.143/00/SNM/CHANNEL00001037/index.m3u8
淄博文旅,http://150.138.8.143/00/SNM/CHANNEL00000293/index.m3u8
淄博民生,http://150.138.8.143/00/SNM/CHANNEL00000294/index.m3u8
德州新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000206/index.m3u8
德州经济生活,http://150.138.8.143/00/SNM/CHANNEL00000207/index.m3u8
武城综合,http://150.138.8.143/00/SNM/CHANNEL00001059/index.m3u8
武城综艺影视,http://150.138.8.143/00/SNM/CHANNEL00001060/index.m3u8
潍坊新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000215/index.m3u8
潍坊经济生活,http://150.138.8.143/00/SNM/CHANNEL00000216/index.m3u8
滨州新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000220/index.m3u8
滨州民生,http://150.138.8.143/00/SNM/CHANNEL00000221/index.m3u8
东营新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000226/index.m3u8
东营公共,http://150.138.8.143/00/SNM/CHANNEL00000227/index.m3u8
菏泽综合,http://150.138.8.143/00/SNM/CHANNEL00000232/index.m3u8
菏泽公共,http://150.138.8.143/00/SNM/CHANNEL00000234/index.m3u8
单县综合,http://150.138.8.143/00/SNM/CHANNEL00001079/index.m3u8
巨野综合,http://150.138.8.143/00/SNM/CHANNEL00001046/index.m3u8
东明综合,http://150.138.8.143/00/SNM/CHANNEL00001065/index.m3u8
郓城新闻,http://150.138.8.143/00/SNM/CHANNEL00001041/index.m3u8
定陶综合,http://150.138.8.143/00/SNM/CHANNEL00001063/index.m3u8
济宁综合,http://150.138.8.143/00/SNM/CHANNEL00000240/index.m3u8
济宁生活,http://150.138.8.143/00/SNM/CHANNEL00000239/index.m3u8
济宁公共,http://150.138.8.143/00/SNM/CHANNEL00000241/index.m3u8
梁山综合,http://150.138.8.143/00/SNM/CHANNEL00001075/index.m3u8
聊城综合,http://150.138.8.143/00/SNM/CHANNEL00000250/index.m3u8
聊城民生,http://150.138.8.143/00/SNM/CHANNEL00000251/index.m3u8
日照新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000262/index.m3u8
日照科教,http://150.138.8.143/00/SNM/CHANNEL00000263/index.m3u8
威海都市生活,http://150.138.8.143/00/SNM/CHANNEL00000275/index.m3u8
寿光综合,http://150.138.8.143/00/SNM/CHANNEL00001000/index.m3u8
东平综合,http://150.138.8.143/00/SNM/CHANNEL00001001/index.m3u8
沂源综合,http://150.138.8.143/00/SNM/CHANNEL00001002/index.m3u8
宁津综合,http://150.138.8.143/00/SNM/CHANNEL00001003/index.m3u8
诸城综合,http://150.138.8.143/00/SNM/CHANNEL00001004/index.m3u8
商河综合,http://150.138.8.143/00/SNM/CHANNEL00001008/index.m3u8
惠民综合,http://150.138.8.143/00/SNM/CHANNEL00001009/index.m3u8
